,"North_Wall_Bottom"
,""
"Time","Temperature"
"1548276000",14.9
"1548276300",12.3
"1548276600",12.7
"1548276900",13.2
"1548279000",13.9
"1548279300",13.9
"1548280800",14.1
"1548282300",14.3
"1548365400",13.9
"1548365700",13.7
"1548366000",13.7
"1548366300",13.7
"1548366600",13.8
"1548366900",13.8
"1548367200",13.7
"1548367500",13.6
"1548367800",13.4
"1548368100",13.4
"1548368400",13.4
"1548368700",13.3
"1548369000",13.3
"1548369300",13.3
"1548369600",13.3
"1548369900",13.1
"1548370200",13
"1548370500",12.9
"1548370800",12.8
"1548371100",12.8
"1548371400",12.8
"1548371700",12.8
"1548372000",12.8
"1548372300",12.8
"1548372600",12.8
"1548372900",12.8
"1548373200",12.7
"1548373500",12.7
"1548373800",12.7
"1548374100",12.5
"1548374400",12.4
"1548374700",12.3
"1548375000",12.3
"1548375300",12.2
"1548375600",12.2
"1548375900",12.2
"1548376200",12.2
"1548376500",12.2
"1548376800",12.2
"1548377100",12.2
"1548377400",12.2
"1548377700",12.2
"1548378000",12.2
"1548378300",12.1
"1548378600",12.1
"1548378900",12.1
"1548379200",12.1
"1548379500",12.1
"1548379800",12.1
"1548380100",12.1
"1548380400",12.1
"1548380700",12
"1548381000",12
"1548381300",11.9
"1548381600",11.9
"1548381900",11.9
"1548382200",11.9
"1548382500",11.9
"1548382800",11.9
"1548383100",11.8
"1548383400",11.8
"1548383700",11.8
"1548384000",11.8
"1548384300",11.8
"1548384600",11.8
"1548384900",11.8
"1548385200",11.7
"1548385500",11.7
"1548385800",11.6
"1548386100",11.6
"1548386400",11.6
"1548386700",11.6
"1548387000",11.6
"1548387300",11.6
"1548387600",11.6
"1548387900",11.6
"1548388200",11.5
"1548388500",11.5
"1548388800",11.4
"1548389100",11.4
"1548389400",11.3
"1548389700",11.3
"1548390000",11.3
"1548390300",11.2
"1548390600",11.2
"1548390900",11.1
"1548391200",11.1
"1548391500",11.1
"1548391800",11
"1548392100",10.9
"1548392400",10.9
"1548392700",10.9
"1548393000",11
"1548393300",11
"1548393600",11
"1548393900",10.9
"1548394200",10.9
"1548394500",11
"1548394800",11.1
"1548395100",11.1
"1548395400",11.1
"1548395700",11.1
"1548396000",11.1
"1548396300",11.1
"1548396600",11.1
"1548396900",11.1
"1548397200",11
"1548397500",10.9
"1548397800",10.9
"1548398100",10.9
"1548398400",10.9
"1548398700",10.9
"1548399000",10.9
"1548399300",10.8
"1548399600",10.8
"1548399900",10.8
"1548400200",10.8
"1548400500",10.8
"1548400800",10.8
"1548401100",10.8
"1548401400",10.8
"1548401700",10.8
"1548402000",10.7
"1548402300",10.8
"1548402600",10.8
"1548402900",10.8
"1548403200",10.7
"1548403500",10.8
"1548403800",10.8
"1548404100",10.8
"1548404400",10.8
"1548404700",10.8
"1548405000",10.9
"1548405300",10.9
"1548405600",10.8
"1548405900",10.8
"1548406200",10.8
"1548406500",10.9
"1548406800",10.8
"1548407100",10.9
"1548407400",10.9
"1548407700",10.9
"1548408000",11
"1548408300",11
"1548408600",11.1
"1548408900",11.1
"1548409200",11.1
"1548409500",11.1
"1548409800",11.1
"1548410100",11.1
"1548410400",11.2
"1548410700",11.2
"1548411000",11.2
"1548411300",11.2
"1548411600",11.2
"1548411900",11.2
"1548412200",11.3
"1548412500",11.3
"1548412800",11.2
"1548413100",11.2
"1548413400",11.3
"1548413700",11.3
"1548414000",11.3
"1548414300",11.3
"1548414600",11.3
"1548414900",11.3
"1548415200",11.3
"1548415500",11.3
"1548415800",11.4
"1548416100",11.3
"1548416400",11.3
"1548416700",11.3
"1548417000",11.3
"1548417300",11.3
"1548417600",11.3
"1548417900",11.3
"1548418200",11.3
"1548418500",11.3
"1548418800",11.3
"1548419100",11.3
"1548419400",11.3
"1548419700",11.3
"1548420000",11.3
"1548420300",11.2
"1548420600",11.2
"1548420900",11.2
"1548421200",11.2
"1548421500",11.2
"1548421800",11.2
"1548422100",11.2
"1548422400",11.2
"1548422700",11.2
"1548423000",11.3
"1548423300",11.3
"1548423600",11.3
"1548423900",11.3
"1548424200",11.3
"1548424500",11.3
"1548424800",11.3
"1548425100",11.3
"1548425400",11.3
"1548425700",11.3
"1548426000",11.4
"1548426300",11.4
"1548426600",11.4
"1548426900",11.4
"1548427200",11.4
"1548427500",11.5
"1548427800",11.4
"1548428100",11.5
"1548428400",11.6
"1548428700",11.6
"1548429000",11.6
"1548429300",11.7
"1548429600",11.7
"1548429900",11.8
